oid,label,amplitude_magn_r,anderson_darling_normal_magn_r,beyond_1_std_magn_r,beyond_2_std_magn_r,cusum_magn_r,eta_e_magn_r,inter_percentile_range_2_magn_r,inter_percentile_range_10_magn_r,inter_percentile_range_25_magn_r,kurtosis_magn_r,linear_fit_slope_magn_r,linear_fit_slope_sigma_magn_r,linear_fit_reduced_chi2_magn_r,linear_trend_magn_r,linear_trend_sigma_magn_r,linear_trend_noise_magn_r,magnitude_percentage_ratio_40_5_magn_r,magnitude_percentage_ratio_20_5_magn_r,maximum_slope_magn_r,mean_magn_r,median_absolute_deviation_magn_r,median_buffer_range_percentage_10_magn_r,median_buffer_range_percentage_20_magn_r,percent_amplitude_magn_r,percent_difference_magnitude_percentile_5_magn_r,percent_difference_magnitude_percentile_10_magn_r,period_0_magn_r,period_s_to_n_0_magn_r,period_1_magn_r,period_s_to_n_1_magn_r,period_2_magn_r,period_s_to_n_2_magn_r,period_3_magn_r,period_s_to_n_3_magn_r,period_4_magn_r,period_s_to_n_4_magn_r,periodogram_amplitude_magn_r,periodogram_beyond_2_std_magn_r,periodogram_beyond_3_std_magn_r,periodogram_standard_deviation_magn_r,chi2_magn_r,skew_magn_r,standard_deviation_magn_r,stetson_K_magn_r,weighted_mean_magn_r,anderson_darling_normal_flux_r,cusum_flux_r,eta_e_flux_r,excess_variance_flux_r,kurtosis_flux_r,mean_variance_flux_r,chi2_flux_r,skew_flux_r,stetson_K_flux_r
583209300030941,1,0.5941430000000008,22.968085765428405,0.2318840579710145,0.0851449275362318,0.1840582332881044,1041704.5914756728,0.8797629024038329,0.577667780769346,0.1946439999999967,0.9631273301531368,0.0001977682265724,2.8619476886487517e-06,42.619560266350966,0.0001518809092547,1.7607525589799916e-05,0.1993069935896272,0.0951661092118579,0.3519376254143705,574.0022228013506,18.16849443478261,0.0968145000000024,0.3496376811594203,0.5960144927536232,0.7498909999999981,0.0393794981957982,0.0317160858755756,1.0001911260950285,11.30865139142961,0.3330303798822234,9.549338273467576,0.9970115902718382,9.442752336310752,337.7568495043981,8.445285650284491,0.1997788312922708,7.546218434490096,38.59958397787375,0.0424423217773437,0.0089340209960937,5.71603737296057,51.20859735481818,-1.1419869976300847,0.2121682418335844,0.7717550551532713,18.10015964614683,37.477464146116105,0.1915446111726167,1646485.7861095404,0.0472669688195931,2.1079295232254487,0.2196807338287477,41.29392743002593,1.6013190450198256,0.7100523411128117
754209300001788,0,0.4355570000000002,10.166033077301307,0.3328173374613003,0.0386996904024767,0.0888447089763771,7476.915920446391,0.822279448717115,0.6349202607116702,0.345841,-0.6570394926668377,8.239934971749252e-06,1.4286105309124474e-06,222.07902552587976,9.9298549690227e-06,2.153709282045259e-05,0.2261145986592376,0.1786862425335106,0.5507155162464566,57.93297839322237,13.397967884674925,0.1443754999999997,0.1284829721362229,0.2693498452012384,0.5656935000000001,0.0551926851878338,0.047231112200043,0.6811202379378718,84.10932605745384,2.148527549668874,50.89196077819207,1.870499000640615,49.05654758636552,0.4051594273820536,48.410400629897936,0.2881145551425846,41.38491146007302,103.83929217595076,0.0147247314453125,0.0058631896972656,2.454809645807718,221.78629444394795,-0.5446457291686086,0.2259765345341327,0.83539720310878,13.405893803532278,18.365013506337885,0.0858963234103528,7444.093127690645,0.0481666501600554,-0.1319113997239673,0.2199335108523379,189.72272724738693,0.874841110317621,0.8298424536226323
796211300034722,0,3.5153175,58.85938254486769,0.1291028446389496,0.0291757840991976,0.1789486152692875,9822.270797949895,1.595457602645876,0.7521956217956536,0.3681587499999992,32.0606893181276,0.0002132312677964,2.4755717551075797e-06,760.1862004029117,-0.0001711628824362,2.668714566455304e-05,0.4718032269373718,0.1351689693425359,0.4305010718059609,252.06881666978697,18.976888661560903,0.1847819999999984,0.7716994894237783,0.9467541940189642,4.735951,0.0565533737370967,0.0395971939521358,1382.5820016956743,65.08630269790758,0.998032429454371,50.24265948453868,0.9992531284841146,49.37929261342987,0.4991409376001491,43.57927039535927,0.9964278757092676,39.66142769699491,60.60544779245576,0.017303466796875,0.0069618225097656,1.8472792349621712,765.0467153809168,-2.813943805276356,0.4786642796246951,0.444373213377766,18.445868913336884,433.899979128448,0.0478717565934372,902.3758299433252,8.864249742783873,286.1493961513985,2.9776266920654284,110.4465444439982,16.461629491778947,0.5450092820585574
793215300018249,1,1.700165,15.95804233505136,0.2142011834319526,0.0390532544378698,0.1856302360504404,174694.55629328455,1.075540633764266,0.584071999999999,0.2680257499999996,17.163021739185655,0.0002793398832552,7.212640418504356e-06,41.54341103721112,0.0001097473816121,2.030140412714389e-05,0.2681861707436992,0.126720091693129,0.4236635307824815,553.4934050866143,19.80222471242604,0.1298059999999985,0.6118343195266273,0.8627218934911243,2.738456,0.0406651546918028,0.0294393562527431,1800.2544286137452,35.15428673626221,0.9966530635075818,32.49460408019733,0.9978684267023696,32.1317044348016,0.499169396537847,31.318623891920527,0.9994750325414972,28.98088298792246,27.416005344968426,0.0264968872070312,0.0116844177246093,1.5339149240825654,43.27138317890193,-2.494227324279723,0.2726334341040741,0.4708293231458708,19.546865441949198,104.54395541308264,0.1118734311655127,49582.84696989639,0.2333734588997783,267.52862178899903,0.4921328932142974,12.653129043022885,13.884992976406274,0.5343897370948631
695211400009049,0,0.8843220000000009,1.646016680765254,0.3902439024390244,0.0104529616724738,0.2373201324105999,341059.40793992166,1.605313233921052,1.255759506923674,0.7261384999999976,-0.9336276168540962,0.0001287933684739,2.664431858200002e-05,4.724884426563484,0.0001958637039013,5.846474613842104e-05,0.4420614849689476,0.169808813561834,0.6287754142594307,364.45934258121576,20.563670250871077,0.3643309999999999,0.1324041811846689,0.2822299651567944,0.8897980000000025,0.070182567294483,0.0609761898181179,1.006236705353541,28.107953274281368,113.43778694638694,27.92878334546123,1.008732362296224,22.9554859028188,0.9886378538636912,21.338158179402328,157.3146668030083,19.89206707781669,27.730116889937992,0.0171051025390625,0.0103530883789062,1.9372819694349253,4.790061909991598,-0.0417747313905866,0.4498930194914327,0.860859868699326,20.342730421555647,6.333787440393626,0.2656990691488963,389448.90543932974,0.1376576510139428,-0.6061090607875239,0.4153774262225619,4.797350804759326,0.6564303257098908,0.814338402536266
480213400006319,0,0.0902290000000007,8.289329843853057,0.256,0.064,0.2972601217624128,16093701.48923158,0.1651720000000018,0.1118079999999999,0.0544167500000014,0.1568312211638147,-8.18212815236603e-05,5.30519551827622e-06,7.944571885175847,-8.187803226499373e-05,1.4900605694387793e-05,0.0406787014263667,0.0499626940675071,0.4860060166462701,76.34000007702062,16.122447007999998,0.0158059999999977,0.376,0.544,0.136413000000001,0.0090918834096414,0.0069266064565849,241.0404637096781,13.861717198620534,0.9929349017700032,13.03429247992038,1.004335265456992,12.8910334802909,0.5003607743765807,11.558704476471735,1.0004446473838329,10.189235174976693,19.450402053239145,0.04193115234375,0.0153656005859375,2.60847756196784,9.7987654537769,-1.1215806793866383,0.0452145004325256,0.8246775619020938,16.121629744860037,8.735657043405464,0.2965817057706447,14767146.78259932,0.0016350528376339,0.2956661387552142,0.0426097104371496,9.350056695157605,1.1769008370196747,0.8136336076764845
540208400015276,0,1.1729650000000014,18.759944716461305,0.1808510638297872,0.0425531914893617,0.1505402445433376,3581509.6493613617,1.0113800241804114,0.4619770825500495,0.2113349999999982,14.249963885966825,0.0001122322499781,1.2101284833962756e-05,9.06117549215064,6.235969515622553e-06,2.1304153994876856e-05,0.2388859194533612,0.115893739273589,0.3734841485356938,1745.3279532882602,20.4650202251773,0.1059109999999989,0.5620567375886525,0.8262411347517731,1.930035,0.0354228027718425,0.0225333679910822,2.037331497170551,5.342131448778662,0.6637885751161203,5.188133298845785,0.6680772306624555,5.146157995654944,2.1837717752183785,5.057655194719743,1.953164703848803,4.96528885963719,13.15011359475374,0.0587425231933593,0.0127220153808593,4.1006885229641945,9.197860152571792,-2.641211142542774,0.2386918635669413,0.531617795420339,20.34107893349277,58.80220832413467,0.1283612526828837,5086353.1217835015,0.1041555751586117,91.69610823516555,0.3472126958004579,3.9894877628523218,7.921915254284505,0.5797248576684207
819209400007508,1,1.9887125,14.584258413780963,0.1540041067761807,0.0102669404517453,0.0790563418163856,1379670.400175666,0.699264891298295,0.4067023870315545,0.203385499999996,118.9802265490519,0.0010590547438389,1.7010475310536767e-05,56.74337738961741,4.2647630403828e-05,2.3525607528362317e-05,0.2253595380772698,0.1373349439482333,0.4872203887004531,572.5877783554818,20.36259632032854,0.1017250000000018,0.7926078028747433,0.9774127310061602,3.511901999999999,0.0263795003848803,0.0199689703088909,0.9797450645525936,9.221035083669348,0.3333064398153565,8.898009524470416,0.9741011192702156,8.442865208018583,0.3149136277966886,8.172604782115993,0.150266403345367,8.092980463325619,3.762313973562169,0.0494918823242187,0.0181999206542968,0.730758841470039,64.60230021607524,-7.768711778775925,0.2258889995153672,0.4442570813989629,19.791215058036855,136.58469544910795,0.0476706503293842,44986.71641574263,1.0876818343304273,468.875994947517,1.0541434300247012,7.632639111428644,21.4524484521848,0.3020065332446482
758205300004317,0,0.1164965000000002,1.0531706406652934,0.2867203219315895,0.0372233400402414,0.1752708707901409,3168760.278699504,0.0727671179866789,0.0440647988128652,0.0234999999999985,4.323669733817924,1.0065616967402178e-05,1.048026000716204e-06,1.2573788282523848,1.0167733311021684e-05,1.1788731974235507e-06,0.0177337352905813,0.158654714405846,0.5183109842702335,128.9086948307107,16.924113861167,0.0117495000000005,0.4929577464788732,0.8329979879275654,0.1463704999999997,0.0034111880635591,0.0026037116939607,23.980012696921317,20.12499248548983,0.9968843394763612,20.122474110820697,2236.136183987913,18.08828121179369,0.957506260873698,17.4544392838749,0.4992629140103067,15.137916309301458,32.74980465578671,0.0451850891113281,0.0159645080566406,3.113259557601875,1.349006537286625,0.5081548199954875,0.0183773807541915,0.77150325377898,16.923872170434354,0.8599043927070927,0.1755654904204938,3238194.425876987,7.334009243412323e-05,3.539019623522034,0.0168604276826129,1.3601086586906164,-0.3620797685396114,0.7690926069144497
642210300030936,1,2.106574,19.539959741302283,0.1596752368064952,0.0108254397834912,0.0586292144628876,30081552.701228317,0.6946872635478982,0.3734785649414078,0.190081499999998,148.93959666767958,0.000669971171499,1.3217349021790372e-05,86.22665692594946,-6.702157074341987e-06,2.112510473319877e-05,0.2087909476257714,0.1275237933766434,0.4974116665066053,8409.111119595336,20.51484852097429,0.093872000000001,0.8416779431664412,0.9891745602165088,3.81155,0.024103444385253,0.0181980794073043,1.034960075453522,10.349502081301578,0.5078890529309165,9.997950164986548,1.3796106048432817,9.946389675987378,0.9302910035944266,8.887737761157794,1.381405366179772,8.68957031519713,5.232165557186828,0.0466461181640625,0.0184402465820312,0.9245126055435656,89.59132467700856,-8.325948094638726,0.2086636898174646,0.3757139536519974,20.074224304665083,214.55258821184327,0.0365126753294214,51478143.82315535,1.2813927187795733,716.3210236535082,1.1382072838227646,9.094427645036951,26.559136921421253,0.3287940335244957
